#number of nodes
24
#nodes (n1,n2,bandwidth in bits)
(0,1,500000)
(0,2,500000)
(0,5,500000)
(0,8,500000)
(0,12,10000000)
(1,2,500000)
(1,23,2000000)
(2,3,500000)
(2,11,500000)
(2,21,2000000)
(3,19,2000000)
(4,5,500000)
(4,6,500000)
(4,7,500000)
(4,11,500000)
(4,17,2000000)
(5,6,500000)
(5,14,10000000)
(5,20,500000)
(7,9,500000)
(8,9,500000)
(8,11,500000)
(8,18,2000000)
(9,10,500000)
(9,16,2000000)
(9,22,2000000)
(10,11,500000)
(10,13,10000000)
(10,15,2000000)
#properties (Client, Server)
(15,12)
(16,13)
(17,14)
(18,12)
(19,13)
(20,14)
(21,12)
(22,13)
(23,14)
